แหล่งนำเข้าสำคัญของไทย  ปี 2559 - 2562(มกราคม - เมษายน),,,,,,,,,,,,,
มูลค่า : ล้านบาท,,,,,,,,,,,,,
 รายการ ,2559,,2560,,2561,,2561,,2562,,2560,2561,2562
,,,,,,,(ม.ค. - เม.ย.),,(ม.ค. - เม.ย.),,,,
,,,,,,,,,,,,(ม.ค. - เม.ย.),(ม.ค. - เม.ย.)
,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,,,
รวมทั้งสิ้น,-,"6,888,186.70",-,"7,587,118.41",-,"8,098,098.18",-,"2,584,796.01",-,"3,229,146.44",10.15,6.73,24.93
   โกตดิวัวร์,103,538.41,118,296.99,125,232.90,140,33.36,125,107.13,-44.84,-21.58,221.10
   กรีนแลนด์ (เดนมาร์ก),126,142.02,119,286.23,134,175.89,132,47.96,126,98.11,101.54,-38.55,104.56
   เอกวาดอร์,160,45.43,114,359.55,129,203.43,116,107.79,127,93.03,691.50,-43.42,-13.69
   จาเมกา,159,46.63,143,121.27,127,215.21,124,68.12,128,80.51,160.07,77.46,18.19
   มอลโดวา,130,121.06,140,126.33,131,196.65,129,55.46,129,59.26,4.36,55.66,6.85
   หมู่เกาะดุก,125,145.38,131,173.06,128,206.13,134,45.62,130,83.40,19.05,19.10,82.81
   กัวเตมาลา,128,136.60,123,218.08,133,194.19,127,57.26,131,67.58,59.64,-10.96,18.03
   บูร์กินา ฟาโซ,104,521.65,121,266.48,141,130.47,156,14.71,132,92.88,-48.92,-51.04,531.43
   ลิกเตนสไตน์,131,120.46,135,146.41,143,127.21,137,43.01,133,56.67,21.55,-13.11,31.75
   หมู่เกาะเวอร์จิน (อังกฤษ),146,86.54,159,49.41,164,39.95,160,10.27,134,45.02,-42.91,-19.14,338.24
   คิวบา,143,92.89,144,117.77,137,154.15,138,41.74,135,55.72,26.79,30.89,33.47
   แคเมอรูน,129,124.52,138,134.29,151,73.32,154,17.06,136,57.93,7.85,-45.40,239.51
   ไลบีเรีย,165,31.63,136,140.57,152,69.55,131,49.20,137,58.03,344.41,-50.52,17.95
   บอสเนียและเฮอร์เซโกวีนา,153,66.60,153,70.25,139,135.56,143,26.94,138,44.46,5.48,92.96,65.05
   เอลซัลวาดอร์,154,55.45,125,204.75,118,302.49,103,201.62,139,40.33,269.26,47.74,-80.00
   ซูรินาเม,155,54.78,158,59.72,158,47.19,159,11.34,140,44.93,9.02,-20.98,296.31
   กายอานา,191,5.27,161,46.64,153,59.35,183,1.75,141,34.18,784.21,27.27,"1,858.76"
   เรอูนียง,189,5.80,173,28.72,168,26.50,161,9.71,142,38.15,394.78,-7.72,292.90
   กาบอง,156,50.50,162,43.78,77,"2,099.92",68,"1,065.57",143,31.89,-13.30,"4,696.60",-97.01
   อรูบา,229,.15,171,30.29,162,42.22,155,16.75,144,39.18,"20,335.70",39.42,133.85
   ซิมบับเว,149,78.91,166,41.20,146,94.08,150,21.24,145,30.63,-47.80,128.38,44.20
   ฮอนดูรัส,139,103.98,92,936.79,111,549.45,90,393.57,146,28.15,800.97,-41.35,-92.85
   จอร์เจีย,144,92.02,150,78.09,155,56.34,147,22.21,147,28.01,-15.14,-27.86,26.10
   เบลิซ,163,37.96,141,122.18,123,238.01,114,129.84,148,26.24,221.84,94.80,-79.79
   กินี,134,115.27,146,98.48,132,195.71,145,24.62,149,27.30,-14.56,98.73,10.89
