สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
โลก,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2560,2561,2561,2562,2560,2561,2561,2562,2560,2561,2561,2562
,,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.)
     (2.3) กระเจี๊ยบแช่แข็ง,109.9,126.8,64.3,63.3,-2.61,15.44,19.17,-1.56,0.00,0.00,0.00,0.00
     (2.4) ผักต่าง ๆ ผสมกัน แช่แข็ง,133.9,152.6,70.1,44.1,50.22,13.95,34.92,-37.12,0.00,0.00,0.00,0.00
     (2.5) ผักแช่แข็งอื่น ๆ,452.7,514.1,195.5,221.1,14.42,13.55,15.66,13.07,0.01,0.01,0.01,0.01
    (3) ผักแห้ง,947.6,"1,385.5",462.3,703.2,164.81,46.22,15.59,52.11,0.01,0.02,0.01,0.02
    (4) ผักอื่น ๆ,364.7,448.1,143.6,124.2,12.61,22.85,-12.16,-13.47,0.00,0.01,0.00,0.00
   1.1.7 เครื่องเทศและสมุนไพร,"6,530.9","6,900.5","2,287.0","2,828.8",63.85,5.66,-8.18,23.69,0.08,0.09,0.07,0.09
    (1) พริกไทย,56.5,133.8,28.3,60.6,-2.05,136.79,17.86,114.28,0.00,0.00,0.00,0.00
     (1.1) พริกไทยไม่บดหรือไม่ป่น,20.7,35.7,7.2,41.4,-25.00,72.88,-38.00,479.12,0.00,0.00,0.00,0.00
     (1.2) พริกไทยบดหรือป่น,35.8,98.1,21.1,19.2,18.95,173.64,69.52,-9.13,0.00,0.00,0.00,0.00
    (2) มะขามเปียก,,,,,,,,,,,,
    (3) เครื่องเทศ,"4,446.7","3,837.2",951.9,"1,385.3",155.09,-13.71,-41.90,45.53,0.06,0.05,0.03,0.04
"     (3.1) พริกในตระกูลแคปซีกัม, พิเมนตา (แห้ง/ป่น)",525.9,619.3,191.1,376.4,11.61,17.77,-14.31,96.89,0.01,0.01,0.01,0.01
     (3.2) วานิลา,2.6,41.0,7.0,17.1,0.31,"1,466.54",634.82,145.95,0.00,0.00,0.00,0.00
     (3.3) กานพลู,0.0,0.3,0.3,,-87.94,"2,032.31","2,031.54",,0.00,0.00,0.00,
     (3.4) อบเชยและดอกอบเชย,6.1,5.8,2.3,3.1,-1.93,-4.71,27.60,32.37,0.00,0.00,0.00,0.00
     (3.5) ลูกจันทน์เทศ ดอกจันทน์เทศและกระวาน,0.4,0.2,0.0,0.1,-72.96,-46.00,113.22,8.88,0.00,0.00,0.00,0.00
     (3.6) เมล็ดยี่หร่า โป๊ยกั๊ก เทียนข้าวเปลือก ฯลฯ,18.0,10.8,2.2,1.8,-3.94,-39.97,-63.44,-17.65,0.00,0.00,0.00,0.00
     (3.7) ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอมแขก และเครื่องเทศอื่น ๆ,"3,893.7","3,159.8",749.0,986.9,213.31,-18.85,-46.75,31.76,0.05,0.04,0.02,0.03
    (4) สมุนไพร,440.9,349.2,130.4,146.6,-28.14,-20.80,-38.06,12.45,0.01,0.00,0.00,0.00
    (5) สารสกัดจากสมุนไพร,408.5,387.0,181.8,138.4,28.01,-5.27,-14.02,-23.87,0.01,0.00,0.01,0.00
    (6) หมาก,"1,178.2","2,193.2",994.6,"1,097.9",-5.92,86.15,144.80,10.38,0.01,0.03,0.03,0.03
   1.1.8 กล้วยไม้,"2,786.3","2,823.1","1,134.1","1,169.1",9.07,1.32,-4.82,3.09,0.03,0.03,0.03,0.04
    (1) ดอกกล้วยไม้,"2,222.9","2,287.0",920.4,946.6,-3.66,2.89,-1.92,2.85,0.03,0.03,0.03,0.03
    (2) ต้นกล้วยไม้(พันต้น),563.4,536.1,213.7,222.5,127.91,-4.85,-15.54,4.13,0.01,0.01,0.01,0.01
   1.1.9 ยางพารา,"204,556.4","147,343.4","64,555.3","55,446.5",31.31,-27.97,-34.65,-14.11,2.55,1.82,1.96,1.73
    (1) ยางแผ่น,"48,739.0","28,894.6","13,412.5","10,372.1",55.27,-40.72,-36.12,-22.67,0.61,0.36,0.41,0.32
     (1.1) ยางแผ่นรมควัน ชั้นที่ 1,462.8,331.4,161.1,139.4,37.43,-28.41,28.57,-13.43,0.01,0.00,0.00,0.00
     (1.2) ยางแผ่นรมควัน ชั้นที่ 2,439.9,363.0,133.4,122.3,8.56,-17.48,-35.17,-8.39,0.01,0.00,0.00,0.00
     (1.3) ยางแผ่นรมควัน ชั้นที่ 3,"44,592.1","26,090.6","12,165.3","9,265.9",60.69,-41.49,-35.72,-23.83,0.56,0.32,0.37,0.29
     (1.4) ยางแผ่นรมควัน ชั้นที่ 4,"3,025.4","1,984.0",899.5,805.1,12.46,-34.42,-45.01,-10.48,0.04,0.02,0.03,0.03
     (1.5) ยางแผ่นรมควัน ชั้นที่ 5,,,,,,,,,,,,
     (1.6) ยางแผ่นผึ่งแห้ง,218.7,125.6,53.2,39.4,8.27,-42.57,-49.65,-25.95,0.00,0.00,0.00,0.00
     (1.7) ยางแผ่นไม่รมควัน ยางแผ่นดิบ,,,,0.0,,,,,,,,0.00
    (2) ยางแท่ง,"98,117.1","71,144.4","29,568.9","28,714.2",18.65,-27.49,-44.55,-2.89,1.23,0.88,0.90,0.90
     (2.1) ยางธรรมชาติที่กำหนดไว้ในทางเทคนิค,"93,217.0","67,431.0","27,942.3","27,347.3",16.93,-27.66,-45.81,-2.13,1.16,0.83,0.85,0.85
     (2.2) ยางแท่งชั้น 5,,,,,,,,,,,,
     (2.3) ทีทีอาร์ เอศเอ็มอาร์ ไอเอสอาร์ เอสเอสอาร์ ไดแน็ท ฯลฯ,,,,,,,,,,,,
     (2.4) ยางแท่งอื่น ๆ,"4,900.1","3,713.4","1,626.6","1,366.9",64.83,-24.22,-7.33,-15.97,0.06,0.05,0.05,0.04
    (3) น้ำยางข้น,"51,760.5","43,352.6","19,385.0","15,629.0",29.69,-16.24,-18.03,-19.38,0.65,0.53,0.59,0.49
    (4) ยางพาราอื่น ๆ,"5,939.8","3,951.7","2,188.9",731.2,231.98,-33.47,169.14,-66.59,0.07,0.05,0.07,0.02
     (4.2) ในลักษณะขั้นปฐม,"2,813.9","2,720.6","1,598.8",645.4,113.20,-3.32,153.36,-59.63,0.04,0.03,0.05,0.02
     (4.3) ยางเครฟ,"3,066.0","1,173.0",549.6,84.3,961.31,-61.74,221.09,-84.66,0.04,0.01,0.02,0.00
     (4.4) อื่น ๆ,59.9,58.1,40.5,1.6,-66.81,-2.99,264.88,-96.09,0.00,0.00,0.00,0.00
   1.1.10 กาแฟ,100.4,137.1,48.1,50.9,-18.12,36.60,-5.27,5.80,0.00,0.00,0.00,0.00
    (1) กาแฟดิบ,60.5,92.3,34.9,34.1,-10.72,52.41,37.41,-2.54,0.00,0.00,0.00,0.00
    (2) กาแฟคั่ว,39.8,44.8,13.2,16.9,-27.29,12.56,-48.04,27.93,0.00,0.00,0.00,0.00
   1.1.11 ใบยาสูบ,"2,081.2","1,944.9",408.0,299.4,3.09,-6.55,-37.30,-26.62,0.03,0.02,0.01,0.01
    (1) พันธุ์เวอร์จิเนีย,213.0,227.7,1.6,1.3,-30.96,6.89,-93.23,-18.56,0.00,0.00,0.00,0.00
    (2) พันธุ์เบอร์เลย์,"1,098.8",985.8,128.1,72.6,-5.82,-10.28,-55.65,-43.33,0.01,0.01,0.00,0.00
    (3) พันธุ์โอเรียนตอล,744.3,727.6,274.5,210.3,59.68,-2.24,-18.04,-23.38,0.01,0.01,0.01,0.01
    (4) เศษใบยาสูบและอื่นๆ,25.0,3.7,3.7,15.1,-67.65,-85.05,43.27,307.68,0.00,0.00,0.00,0.00
   1.1.12 พืชน้ำมัน,"2,143.1","3,102.7","1,259.9","1,383.1",3.93,44.78,57.08,9.79,0.03,0.04,0.04,0.04
    (1) ปาล์มน้ำมัน,169.8,344.9,231.2,96.5,-15.31,103.18,245.70,-58.27,0.00,0.00,0.01,0.00
    (2) พืชน้ำมันอื่น ๆ,"1,973.3","2,757.8","1,028.7","1,286.7",6.00,39.75,39.92,25.08,0.02,0.03,0.03,0.04
   1.1.14 เมล็ดมะม่วงหิมพานต์,699.1,633.7,308.0,255.1,88.12,-9.35,-18.60,-17.18,0.01,0.01,0.01,0.01
   1.1.15 ธัญญพืช,458.3,408.0,187.5,163.7,9.09,-10.97,-16.94,-12.69,0.01,0.01,0.01,0.01
    (1) ลูกเดือยทั้งเปลือก,123.8,146.1,74.2,62.0,-16.86,18.05,-6.67,-16.41,0.00,0.00,0.00,0.00
    (2) รำและเศษจากธัญญพืช,215.8,117.0,52.5,33.3,66.92,-45.80,-35.72,-36.68,0.00,0.00,0.00,0.00
    (3) ธัญญพืชอื่น ๆ,118.7,144.9,60.8,68.4,-16.37,22.08,-5.79,12.59,0.00,0.00,0.00,0.00
   1.1.16 เมล็ด ผลและสปอร์ ชนิดที่ใช้ในการเพาะปลูก,"4,082.4","4,437.0","1,690.9","1,919.7",25.42,8.68,11.58,13.53,0.05,0.05,0.05,0.06
   1.1.17 ครั่ง,76.0,113.9,57.5,63.2,-4.78,49.79,64.71,9.91,0.00,0.00,0.00,0.00
