สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
โลก,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2560,2561,2561,2562,2560,2561,2561,2562,2560,2561,2561,2562
,,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.)
    (1) ลำโพงขยายเสียง,"3,457.6","3,272.0","1,392.1","1,165.1",28.37,-5.37,-7.65,-16.31,0.04,0.04,0.04,0.04
    (2) ส่วนประกอบของลำโพงขยายเสียง,"1,298.3","1,735.8",535.5,"1,082.7",25.96,33.70,11.00,102.18,0.02,0.02,0.02,0.03
   3.3.5 เตาอบไมโครเวฟและเครื่องใช้ไฟฟ้าที่ให้ความร้อน,"25,934.1","27,016.6","11,090.7","10,130.9",-7.92,4.17,5.69,-8.65,0.32,0.33,0.34,0.32
    (1) เตาอบไมโครเวฟ(พันเครื่อง),"7,203.2","7,754.0","3,455.8","2,657.4",-2.68,7.65,15.30,-23.10,0.09,0.10,0.10,0.08
    (2) เครื่องใช้ไฟฟ้าที่ให้ความร้อนและส่วนประกอบ,"18,731.0","19,262.6","7,634.9","7,473.6",-9.79,2.84,1.85,-2.11,0.23,0.24,0.23,0.23
     (2.1) เตาอบอื่น ๆ รวมเตาที่มีหม้อหุงต้ม และเตาย่าง,"11,811.7","12,449.1","5,043.0","4,785.5",-11.44,5.40,4.99,-5.11,0.15,0.15,0.15,0.15
     (2.2) เครื่องอุปกรณ์แต่งผมและเป่าผม(พันเครื่อง),"3,396.7","3,398.0","1,302.9","1,345.7",-8.43,0.04,2.45,3.29,0.04,0.04,0.04,0.04
     (2.3) เครื่องทำน้ำร้อน,537.2,531.3,166.0,273.3,-5.76,-1.09,-20.76,64.70,0.01,0.01,0.01,0.01
     (2.4) เครื่องใช้ไฟฟ้าที่ให้ความร้อนอื่น ๆ และส่วนประกอบ,"2,985.4","2,884.2","1,123.0","1,069.0",-5.12,-3.39,-7.34,-4.81,0.04,0.04,0.03,0.03
   3.3.6 พัดลม,"10,439.2","10,723.6","4,495.5","4,568.8",-3.10,2.73,-0.88,1.63,0.13,0.13,0.14,0.14
   3.3.7 ตู้เย็น ตู้แช่แข็งและส่วนประกอบ,"65,487.0","59,466.5","25,212.4","26,081.7",-0.85,-9.19,-7.38,3.45,0.82,0.73,0.77,0.81
    (1) ตู้เย็นใช้ในบ้านเรือน,"54,804.0","48,657.2","20,739.0","21,749.8",1.34,-11.22,-8.40,4.87,0.68,0.60,0.63,0.68
    (2) ตู้แช่แข็งและเคาน์เตอร์ตู้โชว์,"3,510.4","3,461.7","1,492.6","1,349.0",-18.33,-1.39,-2.20,-9.62,0.04,0.04,0.05,0.04
    (3) ส่วนประกอบอุปกรณ์ตู้เย็น ตู้แช่แข็ง,"7,172.6","7,347.6","2,980.8","2,982.9",-6.52,2.44,-2.42,0.07,0.09,0.09,0.09,0.09
     (3.1) อีแวโพเรเตอร์,671.8,745.1,309.5,339.1,-62.73,10.90,15.73,9.54,0.01,0.01,0.01,0.01
     (3.2) คอนเดนเซอร์,,,,,,,,,,,,
     (3.3) ส่วนประกอบอุปกรณ์ตู้เย็น ตู้แช่แข็ง อื่นๆ,"6,500.7","6,602.5","2,671.3","2,643.8",,1.56,-4.16,-1.03,0.08,0.08,0.08,0.08
   3.3.8 เครื่องปรับอากาศและส่วนประกอบ,"163,896.4","171,487.7","82,288.7","81,830.0",-4.08,4.63,-0.30,-0.56,2.05,2.11,2.50,2.55
    (1) แบบติดหน้าต่างหรือฝาผนัง,"113,206.3","122,404.7","60,665.8","60,856.7",6.29,8.13,6.46,0.31,1.41,1.51,1.84,1.90
    (2) แบบเปลี่ยนวงจรความเย็นหรือวงจรความร้อน,"19,958.9","23,375.1","9,771.7","11,497.3",25.63,17.12,7.23,17.66,0.25,0.29,0.30,0.36
    (3) แบบขับด้วยมอเตอร์ใช้เปลี่ยนอุณหภูมิและความร้อน,"6,945.6","1,750.9",855.3,591.8,-43.99,-74.79,-80.17,-30.81,0.09,0.02,0.03,0.02
    (4) แบบแยกหน่วยทำความเย็น,"2,838.6",702.8,286.4,160.5,-83.30,-75.24,-89.03,-43.95,0.04,0.01,0.01,0.01
    (5) ส่วนประกอบของเครื่องปรับอากาศ,"20,947.0","23,254.2","10,709.6","8,723.7",9.79,11.01,12.53,-18.54,0.26,0.29,0.33,0.27
   3.3.9 เครื่องคอมเพรสเซอร์ของเครื่องทำความเย็น,"30,975.4","28,091.9","12,345.1","11,732.2",-8.52,-9.31,-10.46,-4.96,0.39,0.35,0.37,0.37
   3.3.10 สายไฟฟ้า สายเคเบิ้ล,"19,975.5","21,442.1","8,541.3","8,179.5",8.44,7.34,8.16,-4.24,0.25,0.26,0.26,0.26
   3.3.11 หลอดไฟฟ้า,"1,800.5","1,544.4",629.8,574.3,-17.23,-14.22,-21.12,-8.81,0.02,0.02,0.02,0.02
   3.3.12 เครื่องตัดต่อและป้องกันวงจรไฟฟ้า,"62,626.9","59,479.5","23,571.8","21,880.9",15.49,-5.03,-15.51,-7.17,0.78,0.73,0.72,0.68
   3.3.13 เครื่องพักกระแสไฟฟ้า,"9,744.1","10,242.6","3,990.5","3,912.2",12.57,5.12,0.76,-1.96,0.12,0.13,0.12,0.12
   3.3.14 เครื่องซักผ้าและเครื่องซักแห้งและส่วนประกอบ,"53,982.0","47,044.0","20,537.8","19,554.0",34.34,-12.85,3.30,-4.79,0.67,0.58,0.62,0.61
   3.3.15 เครื่องอุปกรณ์ไฟฟ้าสำหรับให้สัญญาณเสียง และส่วนประกอบ,"14,415.8","14,421.3","7,197.4","4,308.4",20.08,0.04,32.40,-40.14,0.18,0.18,0.22,0.13
   3.3.16 หม้อแบตเตอรี่และส่วนประกอบ,"23,731.6","24,599.6","9,672.0","9,514.1",24.12,3.66,0.22,-1.63,0.30,0.30,0.29,0.30
   3.3.17 แผงสวิทซ์และแผงควบคุมกระแสไฟฟ้า,"62,498.1","62,143.3","23,067.3","24,818.6",28.56,-0.57,-0.05,7.59,0.78,0.77,0.70,0.77
   3.3.18 ส่วนประกอบที่ใช้กับมอเตอร์ไฟฟ้า และเครื่องกำเนิดไฟฟ้า,"2,852.5","3,606.0","1,251.1","1,463.0",-2.24,26.41,6.69,16.93,0.04,0.04,0.04,0.05
   3.3.19 เครื่องใช้ไฟฟ้าและส่วนประกอบอื่น ๆ,"127,607.9","122,689.6","48,036.4","50,584.7",-6.57,-3.85,-11.56,5.30,1.59,1.51,1.46,1.58
  3.4 เครื่องอิเล็กทรอนิกส์,"1,241,533.1","1,229,995.2","493,170.5","444,216.0",9.60,-0.93,2.86,-9.93,15.51,15.17,14.98,13.86
   3.4.1 เครื่องคอมพิวเตอร์ อุปกรณ์และส่วนประกอบ,"624,896.1","633,150.2","255,144.2","226,781.5",6.41,1.32,6.48,-11.12,7.81,7.81,7.75,7.08
    (1) เครื่องคอมพิวเตอร์และอุปกรณ์,"510,406.1","526,021.6","211,717.6","187,056.1",11.99,3.06,9.85,-11.65,6.38,6.49,6.43,5.84
     (1.1) ฮาร์ด ดิสก์ ไดรฟ์,"364,759.4","380,555.6","154,679.1","131,535.4",19.10,4.33,12.73,-14.96,4.56,4.69,4.70,4.10
    (2) ส่วนประกอบคอมพิวเตอร์,"107,827.2","98,861.6","40,201.6","36,412.2",-13.08,-8.31,-9.09,-9.43,1.35,1.22,1.22,1.14
    (3) สายไฟคอมพิวเตอร์,,,,,,,,,,,,
    (4) เทปแม่เหล็กและจานแม่แหล็กสำหรับคอมพิวเตอร์(พันชิ้น),"6,662.9","8,267.1","3,224.9","3,313.3",-10.24,24.08,21.61,2.74,0.08,0.10,0.10,0.10
   3.4.2 เครื่องคำนวณอิเล็กทรอนิกส์(พันเครื่อง),"2,998.2","2,590.2",937.7,"1,217.0",100.18,-13.61,-22.14,29.79,0.04,0.03,0.03,0.04
   3.4.3 แผงวงจรไฟฟ้า,"279,659.1","267,101.0","106,866.2","95,880.9",3.45,-4.49,-4.62,-10.28,3.49,3.29,3.25,2.99
   3.4.4 วงจรพิมพ์,"45,773.1","44,909.9","16,622.1","15,095.8",6.71,-1.89,-9.64,-9.18,0.57,0.55,0.50,0.47
   3.4.5 ตลับลูกปืน,"18,083.4","20,317.3","8,330.3","7,788.5",6.53,12.35,14.63,-6.50,0.23,0.25,0.25,0.24
   3.4.6 มอเตอร์และเครื่องกำเนิดไฟฟ้า,"36,217.0","33,163.5","13,572.4","11,861.7",-8.62,-8.43,-13.04,-12.60,0.45,0.41,0.41,0.37
   3.4.7 เครื่องโทรสาร โทรศัพท์ อุปกรณ์และส่วนประกอบ,"107,193.1","102,905.7","39,829.5","33,080.1",47.67,-4.00,4.58,-16.95,1.34,1.27,1.21,1.03
    (1) เครื่องโทรสาร,15.5,3.3,1.6,18.5,-88.43,-78.74,-71.65,"1,034.44",0.00,0.00,0.00,0.00
    (2) เครื่องโทรศัพท์และอุปกรณ์,"107,177.6","102,902.4","39,827.9","33,061.6",47.93,-3.99,4.59,-16.99,1.34,1.27,1.21,1.03
     (2.1) เครื่องรับโทรศัพท์และอุปกรณ์,"72,582.2","73,952.1","29,368.7","20,414.4",81.24,1.89,30.12,-30.49,0.91,0.91,0.89,0.64
     (2.2) เครื่องตอบรับโทรศัพท์,7.7,7.6,5.6,10.0,-87.58,-0.78,384.55,77.55,0.00,0.00,0.00,0.00
    (3) ส่วนประกอบเครื่องโทรสาร และโทรศัพท์ ,"34,587.7","28,942.7","10,453.6","12,637.2",6.94,-16.32,-32.60,20.89,0.43,0.36,0.32,0.39
   3.4.8 เครื่องส่งวิทยุ โทรเลข โทรศัพท์ โทรทัศน์,"5,425.2","8,144.0","2,730.3","4,629.4",131.28,50.11,36.92,69.56,0.07,0.10,0.08,0.14
   3.4.9 อุปกรณ์กึ่งตัวนำ ทรานซิสเตอร์ และไดโอด,"67,570.6","57,917.1","26,810.0","23,203.1",32.79,-14.29,8.94,-13.45,0.84,0.71,0.81,0.72
    (1) อุปกรณ์กึ่งตัวนำ(พันชิ้น),"49,979.6","38,940.7","19,369.8","16,122.7",43.49,-22.09,10.40,-16.76,0.62,0.48,0.59,0.50
    (2) ทรานซิสเตอร์(พันชิ้น),"8,128.0","9,118.7","3,623.3","3,622.5",9.40,12.19,12.26,-0.02,0.10,0.11,0.11,0.11
    (3) ไดโอด,"4,656.9","4,610.6","1,876.9","1,687.4",21.81,-0.99,-0.58,-10.10,0.06,0.06,0.06,0.05
    (4) อุปกรณ์กึ่งตัวนำ ทรานซิสเตอร์ และไดโอด อื่น ๆ,"4,806.1","5,247.1","1,939.9","1,770.5",0.10,9.17,-0.46,-8.73,0.06,0.06,0.06,0.06
   3.4.10 หม้อแปลงไฟฟ้าและส่วนประกอบ,"53,717.2","59,796.2","22,327.8","24,678.0",11.00,11.32,8.17,10.53,0.67,0.74,0.68,0.77
  3.5 เฟอร์นิเจอร์และชิ้นส่วน,"38,731.5","37,886.1","15,517.4","15,132.4",0.81,-2.18,0.03,-2.48,0.48,0.47,0.47,0.47
   3.5.1 เฟอร์นิเจอร์ไม้(พันชิ้น),"11,210.1","9,911.5","4,300.9","4,078.9",-8.16,-11.58,-2.41,-5.16,0.14,0.12,0.13,0.13
   3.5.2 เฟอร์นิเจอร์โลหะ,"2,722.0","2,704.6","1,072.7","1,215.5",-26.51,-0.64,-12.40,13.32,0.03,0.03,0.03,0.04
   3.5.3 ที่นอนหมอนฟูก,"3,774.5","4,251.6","1,668.8","1,824.2",27.45,12.64,26.15,9.32,0.05,0.05,0.05,0.06
   3.5.4 เฟอร์นิเจอร์อื่น ๆ,"6,041.4","6,562.7","2,510.0","2,355.0",-1.36,8.63,3.80,-6.17,0.08,0.08,0.08,0.07
   3.5.5 ชิ้นส่วนเฟอร์นิเจอร์,"14,983.5","14,455.8","5,965.1","5,658.7",11.61,-3.52,-2.85,-5.14,0.19,0.18,0.18,0.18
  3.6 ไม้และผลิตภัณฑ์ไม้,"97,091.6","84,021.7","36,949.0","32,429.3",12.55,-13.46,-4.00,-12.23,1.21,1.04,1.12,1.01
   3.6.1 ไม้แปรรูป(ลบ.เมตร),"50,769.4","39,166.2","18,859.2","13,316.2",25.82,-22.85,-2.11,-29.39,0.63,0.48,0.57,0.42
   3.6.2 แผ่นไม้วีเนียร์,100.0,165.6,57.5,101.3,56.99,65.56,14.94,76.14,0.00,0.00,0.00,0.00
   3.6.3 ไม้อัด,"13,745.6","12,121.0","5,154.3","4,725.3",20.78,-11.82,-9.29,-8.32,0.17,0.15,0.16,0.15
   3.6.4 ไฟเบอร์บอร์ด,"18,337.1","19,447.3","7,537.1","7,531.7",7.87,6.05,9.02,-0.07,0.23,0.24,0.23,0.24
   3.6.5 เครื่องใช้ทำด้วยไม้,"1,813.4","1,691.7",669.0,622.8,-9.60,-6.71,-8.43,-6.91,0.02,0.02,0.02,0.02
   3.6.6 อุปกรณ์ก่อสร้างทำด้วยไม้,"1,658.5","1,693.0",665.5,668.5,-14.06,2.09,1.57,0.45,0.02,0.02,0.02,0.02
   3.6.7 กรอบรูปไม้,802.6,635.4,256.7,242.8,-16.54,-20.83,-29.35,-5.44,0.01,0.01,0.01,0.01
   3.6.8 รูปแกะสลัก และเครื่องประดับทำด้วยไม้,"1,499.1","1,023.0",434.8,402.4,-2.49,-31.76,-33.28,-7.44,0.02,0.01,0.01,0.01
   3.6.9 ไม้และผลิตภัณฑ์ไม้อื่น ๆ,"8,365.9","8,078.4","3,314.9","4,818.3",-24.19,-3.44,-20.62,45.35,0.10,0.10,0.10,0.15
  3.7 เหล็ก เหล็กกล้าและผลิตภัณฑ์,"188,060.5","201,010.9","81,927.3","75,656.2",3.43,6.89,6.85,-7.65,2.35,2.48,2.49,2.36
   3.7.1 เหล็กและเหล็กกล้า,"46,050.7","51,012.9","21,979.8","18,865.8",31.96,10.78,8.78,-14.17,0.58,0.63,0.67,0.59
    (1) ผลิตภัณฑ์แผ่นรีด,"14,696.4","15,661.7","6,532.1","5,246.2",40.78,6.57,3.79,-19.69,0.18,0.19,0.20,0.16
    (2) มุม รูปทรงและหน้าตัด,"5,475.1","7,024.8","2,604.9","2,957.9",10.00,28.30,7.53,13.55,0.07,0.09,0.08,0.09
    (3) เหล็กและเหล็กกล้าอื่น ๆ,"25,879.2","28,326.4","12,842.8","10,661.7",32.85,9.46,11.77,-16.98,0.32,0.35,0.39,0.33
   3.7.2 ผลิตภัณฑ์เหล็กและเหล็กกล้า,"142,009.8","149,998.0","59,947.5","56,790.4",-3.35,5.63,6.16,-5.27,1.77,1.85,1.82,1.77
    (1) ท่อเหล็ก,"13,752.0","16,276.5","5,917.6","6,116.1",40.86,18.36,9.71,3.35,0.17,0.20,0.18,0.19
    (2) ข้อต่อท่อเหล็ก,"8,698.9","9,137.3","3,539.6","3,653.6",6.49,5.04,-3.35,3.22,0.11,0.11,0.11,0.11
    (3) โครงก่อสร้างทำด้วยเหล็ก,"9,571.9","9,250.5","3,994.4","3,565.9",-56.60,-3.36,25.95,-10.73,0.12,0.11,0.12,0.11
    (4) ตะปู ตะปูควงสลักเกลียว,"19,620.8","21,538.7","8,551.1","8,227.3",11.26,9.78,9.48,-3.79,0.25,0.27,0.26,0.26
    (5) ลวดเกลียว ลวดเคเบิ้ล ลวดสลิง,"7,095.5","8,859.9","3,596.6","3,377.3",12.12,24.87,33.77,-6.10,0.09,0.11,0.11,0.11
    (6) ผลิตภัณฑ์เหล็กและเหล็กกล้าอื่นๆ,"83,270.7","84,935.1","34,348.1","31,850.1",0.35,2.00,1.79,-7.27,1.04,1.05,1.04,0.99
  3.8 ผลิตภัณฑ์อลูมิเนียม,"47,022.4","53,678.2","21,666.1","20,031.5",14.93,14.15,16.25,-7.54,0.59,0.66,0.66,0.63
   3.8.1 โครงก่อสร้างและส่วนประกอบ,"12,761.6","14,021.1","5,691.0","5,383.3",-3.94,9.87,14.20,-5.41,0.16,0.17,0.17,0.17
   3.8.2 ผลิตภัณฑ์อลูมิเนียมที่ใช้ในอุตสาหกรรม,"26,693.5","31,238.3","12,079.5","11,566.6",30.37,17.03,13.64,-4.25,0.33,0.39,0.37,0.36
   3.8.3 ของอื่นๆที่ทำด้วยอลูมิเนียม,"7,567.3","8,418.8","3,895.6","3,081.6",5.76,11.25,28.83,-20.89,0.09,0.10,0.12,0.10
  3.9 ก๊อก วาวล์และส่วนประกอบ,"24,013.5","24,767.7","9,758.8","9,650.5",3.02,3.14,-0.87,-1.11,0.30,0.31,0.30,0.30
  3.10 เม็ดพลาสติก,"293,551.4","330,156.1","135,051.6","124,073.3",8.52,12.47,12.24,-8.13,3.67,4.07,4.10,3.87
   3.10.1 เอทิลีน,"111,948.4","123,274.8","50,897.3","46,702.7",5.16,10.12,8.90,-8.24,1.40,1.52,1.55,1.46
   3.10.2 โพรพิลีน,"37,467.3","47,936.9","19,543.5","18,027.5",6.99,27.94,27.58,-7.76,0.47,0.59,0.59,0.56
   3.10.3 สไตรีน,"20,639.0","25,210.9","10,273.4","7,620.7",22.91,22.15,31.94,-25.82,0.26,0.31,0.31,0.24
   3.10.4 ไวนิลคลอไรด์,"16,750.7","14,979.8","6,317.5","6,040.8",28.04,-10.57,-1.40,-4.38,0.21,0.18,0.19,0.19
   3.10.5 อะคริลิกโพลิเมอร์,"5,829.4","6,613.2","2,489.2","2,483.8",2.15,13.45,4.73,-0.22,0.07,0.08,0.08,0.08
   3.10.6 โพลิอะซิทัล,"70,160.4","79,353.5","32,673.4","29,442.6",7.35,13.10,12.99,-9.89,0.88,0.98,0.99,0.92
   3.10.7 โพลิอะไมด์,"8,262.9","8,946.0","3,641.8","3,586.9",11.86,8.27,7.38,-1.51,0.10,0.11,0.11,0.11
   3.10.8 อะมิโนเรซิน,"2,746.7","2,972.5","1,229.2","1,090.5",-0.72,8.22,5.18,-11.29,0.03,0.04,0.04,0.03
   3.10.9 เม็ดพลาสติกอื่นๆ,"19,746.7","20,868.5","7,986.3","9,077.8",10.09,5.68,-2.81,13.67,0.25,0.26,0.24,0.28
  3.11 ผลิตภัณฑ์พลาสติก,"132,024.3","137,029.4","54,936.2","54,751.8",1.33,3.79,1.61,-0.34,1.65,1.69,1.67,1.71
   3.11.1 ถุงและกระสอบพลาสติก,"26,606.8","27,179.8","10,944.1","11,370.2",0.29,2.15,-0.45,3.89,0.33,0.34,0.33,0.35
   3.11.2 แผ่นฟิล์ม ฟอยล์และแถบ,"43,507.1","44,475.3","17,802.0","17,821.0",1.12,2.23,-2.51,0.11,0.54,0.55,0.54,0.56
   3.11.3 เครื่องใช้สำนักงานทำด้วยพลาสติก,525.9,463.5,200.0,166.0,-8.84,-11.87,-12.22,-17.01,0.01,0.01,0.01,0.01
   3.11.4 เครื่องแต่งกายและของที่ใช้ประกอบกับเครื่องแต่งกาย,"1,232.2","1,267.4",520.3,487.6,2.44,2.86,3.77,-6.29,0.02,0.02,0.02,0.02
   3.11.5 กล่องหีบที่ทำด้วยพลาสติก,"6,690.7","7,182.4","2,835.8","2,710.4",2.55,7.35,6.44,-4.42,0.08,0.09,0.09,0.08
   3.11.6 หลอดและท่อพลาสติก,"3,384.7","3,643.1","1,495.5","1,552.7",-10.20,7.64,10.06,3.82,0.04,0.04,0.05,0.05
   3.11.7 พลาสติกปูพื้นและผนัง,"1,080.1","1,532.5",523.4,679.7,-29.42,41.88,26.17,29.87,0.01,0.02,0.02,0.02
   3.11.8 ผลิตภัณฑ์พลาสติกอื่นๆ,"48,996.8","51,285.4","20,615.2","19,964.2",3.97,4.67,4.93,-3.16,0.61,0.63,0.63,0.62
  3.12 เคมีภัณฑ์,"252,336.4","294,215.4","117,996.0","107,722.1",18.12,16.60,14.62,-8.71,3.15,3.63,3.58,3.36
   3.12.1 เคมีภัณฑ์อนินทรีย์,"22,881.4","26,562.6","10,854.9","10,406.0",20.91,16.09,19.23,-4.14,0.29,0.33,0.33,0.32
    (1) คาร์บอน,"3,806.5","4,576.8","1,859.8","2,118.4",10.73,20.24,16.16,13.90,0.05,0.06,0.06,0.07
    (2) กรดอนินทรีย์อื่นๆ,"1,872.7","1,974.8",904.6,795.0,15.95,5.45,19.69,-12.11,0.02,0.02,0.03,0.02
    (3) เคมีภัณฑ์อนินทรีย์อื่นๆ,"17,202.2","20,011.1","8,090.5","7,492.5",24.01,16.33,19.90,-7.39,0.21,0.25,0.25,0.23
   3.12.2 เคมีภัณฑ์อินทรีย์,"162,643.7","198,385.9","78,647.2","68,899.5",22.80,21.98,17.37,-12.39,2.03,2.45,2.39,2.15
    (1) อะไซคลิกไฮโดรคาร์บอน,"15,671.1","18,473.7","8,110.7","5,498.4",78.60,17.88,21.31,-32.21,0.20,0.23,0.25,0.17
    (2) ไซคลิกไฮโดรคาร์บอน,"39,859.4","62,140.4","23,653.0","19,961.5",15.33,55.90,27.17,-15.61,0.50,0.77,0.72,0.62
    (3) กรดเทเรฟทาลิก,"21,203.4","26,570.6","9,858.5","11,264.2",6.39,25.31,14.35,14.26,0.26,0.33,0.30,0.35
    (4) กรดกลูตามิกและโมโนโซเดียมกลูตาเมต,"5,098.6","4,964.4","2,031.2","1,818.5",-13.07,-2.63,-6.50,-10.47,0.06,0.06,0.06,0.06
    (5) สารประกอบเฮดเทอโรไซคลิก,"2,823.6","3,969.3","1,608.9","1,561.6",2.64,40.58,67.26,-2.94,0.04,0.05,0.05,0.05
    (6) ไลซีนและเอสเทอร์ของไลซีน,"1,465.9","1,309.4",567.4,409.1,0.14,-10.67,-13.03,-27.89,0.02,0.02,0.02,0.01
    (7) ปฏิชีวนะ,616.4,524.9,250.3,221.2,-21.20,-14.84,0.34,-11.64,0.01,0.01,0.01,0.01
    (8) เคมีภัณฑ์อินทรีย์อื่นๆ,"75,905.4","80,433.2","32,567.2","28,165.0",30.16,5.96,12.06,-13.52,0.95,0.99,0.99,0.88
   3.12.3 ปุ๋ย,"7,034.8","8,273.4","3,528.9","2,581.1",19.41,17.61,33.17,-26.86,0.09,0.10,0.11,0.08
    (1) ปุ๋ยเคมีที่มีธาตุไนโตรเเจน ฟอสฟอรัสและโปรตัสเซียม สองหรือสามชนิดผสมกัน ,"3,578.3","3,362.8","1,420.0",902.7,19.46,-6.02,3.56,-36.43,0.04,0.04,0.04,0.03
    (2) ปุ๋ยเคมีที่มีธาตุไนโตรเจน,"2,864.0","4,360.2","1,829.8","1,422.5",37.81,52.24,86.52,-22.26,0.04,0.05,0.06,0.04
    (3) ปุ๋ยอื่นๆ,592.5,550.4,279.1,255.9,-27.51,-7.10,-6.25,-8.30,0.01,0.01,0.01,0.01
   3.12.4 สีทาและวาร์นิช และวัตถุแต่งสีอื่นๆ,"10,688.9","11,485.9","4,527.0","4,586.6",1.63,7.46,5.17,1.31,0.13,0.14,0.14,0.14
    (1) สีทาและวาร์นิช,"6,262.6","6,813.2","2,746.1","2,845.2",5.29,8.79,9.88,3.61,0.08,0.08,0.08,0.09
    (2) หมึกพิมพ์ หมึกเขียนหรือหมึกวาดภาพ,"1,008.4","1,027.6",401.5,481.4,1.17,1.90,-7.29,19.90,0.01,0.01,0.01,0.02
    (3) สีสำหรับงานวาด,93.9,107.9,56.4,30.4,-15.86,14.84,3.53,-46.18,0.00,0.00,0.00,0.00
    (4) สารสีและวัตถุแต่งสีอื่นๆ,"3,324.0","3,537.2","1,322.9","1,229.5",-3.98,6.42,0.38,-7.06,0.04,0.04,0.04,0.04
   3.12.5 สารสกัดใช้ในการฟอกหนังและย้อมสี,"10,644.0","10,090.3","4,018.1","3,918.1",-10.21,-5.20,-18.33,-2.49,0.13,0.12,0.12,0.12
   3.12.6 สารแอลบูมินอยด์,"4,238.5","4,038.9","1,630.7","1,668.4",8.35,-4.71,-15.44,2.31,0.05,0.05,0.05,0.05
    (1) กาวปรุงแต่งและสารยึดติดอื่นๆ,"2,459.7","2,097.7",836.5,884.9,24.08,-14.72,-28.51,5.79,0.03,0.03,0.03,0.03
    (2) สารแอลบูมินอยด์อื่นๆ,"1,778.8","1,941.2",794.2,783.5,-7.82,9.13,4.71,-1.35,0.02,0.02,0.02,0.02
   3.12.7 เคมีภัณฑ์เบ็ดเตล็ด,"34,205.1","35,378.4","14,789.0","15,662.5",13.71,3.43,13.51,5.91,0.43,0.44,0.45,0.49
    (1) สารฆ่าแมลง,"7,889.8","7,340.7","3,033.9","3,205.4",29.21,-6.96,-5.65,5.65,0.10,0.09,0.09,0.10
    (2) สารที่ใช้เป็นตัวเร่งสำหรับยางและพลาสติก,919.3,974.2,373.9,359.4,-1.72,5.97,-1.62,-3.86,0.01,0.01,0.01,0.01
    (3) เคมีภัณฑ์เบ็ดเตล็ดอื่นๆ,"25,396.0","27,063.6","11,381.3","12,097.7",10.22,6.57,20.65,6.30,0.32,0.33,0.35,0.38
  3.13 ดอกไม้ ใบไม้ และต้นไม้ประดิษฐ์,324.7,318.1,122.6,110.0,-10.23,-2.04,-15.66,-10.29,0.00,0.00,0.00,0.00
  3.14 รองเท้าและชิ้นส่วน,"21,154.5","20,094.4","8,103.3","8,265.2",-3.71,-5.01,-6.95,2.00,0.26,0.25,0.25,0.26
   3.14.1 รองเท้ากีฬา(พันคู่),906.2,615.3,242.6,221.8,-3.33,-32.11,-33.45,-8.57,0.01,0.01,0.01,0.01
   3.14.2 รองเท้าแตะ,"3,100.0","3,238.0","1,529.3","1,614.9",-4.02,4.45,-1.61,5.60,0.04,0.04,0.05,0.05
   3.14.3 รองเท้าหนัง(พันคู่),"9,729.2","9,726.1","3,668.5","3,458.3",1.73,-0.03,4.19,-5.73,0.12,0.12,0.11,0.11
   3.14.4 รองเท้าอื่นๆ(พันคู่),"6,312.6","5,562.8","2,317.6","2,473.6",-11.64,-11.88,-17.75,6.73,0.08,0.07,0.07,0.08
   3.14.5 ส่วนประกอบของรองเท้า,"1,106.6",952.2,345.4,496.6,1.13,-13.95,-23.40,43.78,0.01,0.01,0.01,0.02
  3.15 เครื่องใช้สำหรับเดินทาง,"9,939.4","12,696.3","5,313.9","6,195.2",-0.64,27.74,36.23,16.58,0.12,0.16,0.16,0.19
   3.15.1 กระเป๋าเดินทาง(พันชิ้น),"2,631.0","2,621.1","1,201.6","1,171.7",-5.68,-0.38,26.66,-2.49,0.03,0.03,0.04,0.04
   3.15.2 กระเป๋าถือ(พันชิ้น),"1,760.4","3,180.4","1,450.4","2,236.4",-12.75,80.67,78.30,54.19,0.02,0.04,0.04,0.07
   3.15.3 กระเป๋าใส่เศษสตางค์,"1,510.8","1,414.1",552.0,580.7,-18.48,-6.40,-14.69,5.19,0.02,0.02,0.02,0.02
   3.15.4 เครื่องเดินทางอื่น ๆ,"4,037.2","5,480.7","2,110.0","2,206.5",20.76,35.75,41.47,4.57,0.05,0.07,0.06,0.07
  3.16 หนังและผลิตภัณฑ์หนังฟอกและหนังอัด,"22,949.7","25,812.1","10,031.0","10,514.6",-8.44,12.47,6.23,4.82,0.29,0.32,0.30,0.33
   3.16.1 หนังโคกระบือฟอก,"2,879.9","5,346.7","2,023.0","1,435.7",53.48,85.65,120.25,-29.03,0.04,0.07,0.06,0.04
   3.16.2 ของเล่นสำหรับสัตว์เลี้ยง,467.1,262.1,128.6,97.1,-14.95,-43.88,-33.27,-24.49,0.01,0.00,0.00,0.00
   3.16.3 ถุงมือหนัง(พันคู่),"1,882.8","1,731.3",731.5,784.6,2.55,-8.05,-14.19,7.27,0.02,0.02,0.02,0.02
   3.16.4 เครื่องแต่งกายและเข็มขัด,119.0,283.2,127.0,170.2,24.49,137.98,113.90,34.08,0.00,0.00,0.00,0.01
